Date,Open,High,Low,Close,Volume
10/1/2012,180.1652893,184.1007477,175.5214482,181.5033451,22000
10/2/2012,184.1794569,186.4620228,179.5356159,185.2026761,54400
10/3/2012,186.540732,199.8425817,186.540732,196.6155057,101200
10/4/2012,193.6245573,197.9535616,189.1381346,193.8606848,13200
10/7/2012,192.8374656,192.8374656,182.0543093,183.9433294,10000
10/8/2012,184.9665486,191.656828,177.8827233,180.7949626,27400
10/9/2012,187.2491145,190.712318,183.3923652,187.0916962,6200
10/10/2012,184.2581661,184.2581661,178.0401417,180.7162534,5400
10/11/2012,181.0310901,182.6052735,177.1743408,178.19756,16400
10/14/2012,181.0310901,188.1149154,177.0956316,181.1097993,10400
10/15/2012,181.0310901,187.3278237,181.0310901,184.0220386,7200
10/16/2012,188.0362062,192.8374656,188.0362062,191.5781189,39400
10/17/2012,189.6890988,191.8142464,187.3278237,188.9020071,21800
10/18/2012,192.7587564,194.0181031,188.9020071,189.9252263,36400
10/21/2012,192.8374656,192.8374656,187.4065329,189.6103896,1000
10/22/2012,188.9020071,191.9716647,187.3278237,188.9807163,6200
10/23/2012,192.8374656,196.772924,187.4065329,189.7678079,12600
10/30/2012,200.7083825,200.7083825,188.9020071,192.6800472,16200
10/31/2012,189.7678079,195.0413223,189.7678079,191.9716647,19400
11/1/2012,192.8374656,194.3329398,188.1149154,190.8697363,6400
11/4/2012,190.3974813,190.3974813,185.8323495,186.7768595,4800
11/5/2012,188.5084612,193.6245573,184.9665486,188.5084612,5000
11/6/2012,196.6942149,196.6942149,185.7536403,188.9020071,14400
11/7/2012,177.0956316,191.2632822,177.0956316,187.6426604,11800
11/8/2012,188.9020071,192.8374656,182.7626919,185.8323495,23200
11/11/2012,181.8181818,186.8555687,177.9614325,179.3781976,6200
11/12/2012,184.1794569,184.4942936,177.1743408,180.4801259,12000
11/13/2012,182.6052735,184.8878394,180.5588351,181.1097993,7000
11/14/2012,184.9665486,184.9665486,181.1885085,182.5265643,8400
11/15/2012,198.3471074,198.3471074,188.1149154,192.2865014,54200
11/18/2012,192.8374656,192.8374656,184.9665486,190.6336088,24400
11/19/2012,190.4761905,190.4761905,183.7859111,185.596222,5400
11/20/2012,178.2762692,188.8232979,177.8827233,180.4801259,15600
11/21/2012,184.9665486,184.9665486,180.5588351,181.5033451,18400
11/22/2012,184.9665486,188.1149154,179.4569067,182.0543093,6600
11/26/2012,183.3923652,183.3923652,178.669815,181.1885085,9200
11/27/2012,178.1188508,181.9756002,177.1743408,178.9846517,6600
11/28/2012,187.3278237,191.2632822,176.3872491,179.1420701,5200
11/29/2012,185.7536403,188.4297521,181.1097993,187.4065329,28400
12/2/2012,191.9716647,191.9716647,179.5356159,186.3833137,29000
12/3/2012,182.6052735,186.3833137,181.1097993,182.6052735,11400
12/4/2012,181.8181818,184.9665486,181.0310901,182.6052735,4600
12/5/2012,190.3187721,190.3187721,181.8181818,186.068477,1400
12/6/2012,183.3923652,186.4620228,182.2117277,184.9665486,33000
12/9/2012,187.1704054,187.1704054,181.0310901,185.0452578,19600
12/10/2012,184.8878394,185.7536403,182.2117277,184.8091303,4800
12/11/2012,184.8878394,184.9665486,184.8878394,184.8878394,19200
12/12/2012,188.9020071,188.9020071,181.0310901,181.5033451,3000
12/13/2012,184.9665486,184.9665486,181.5820543,181.7394726,4800
12/17/2012,188.2723337,188.2723337,183.3923652,184.9665486,1800
12/18/2012,186.9342778,186.9342778,186.9342778,186.9342778,200
